This file was created by CMPT_IND_RETS using the 201712 CRSP database.,,,,,,,,,,
It contains value- and equal-weighted returns for 10 industry portfolios.,,,,,,,,,,
,,,,,,,,,,
The portfolios are constructed at the end of June.,,,,,,,,,,
,,,,,,,,,,
The annual returns are from January to December.,,,,,,,,,,
,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,,,,,
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
201108,-0.79,-12,-6.09,-10.12,-6.91,-5.45,-2.88,-3.09,0.14,-7.59
201109,-4.93,-14.11,-11.03,-12.45,-4.88,-5.94,-3.89,-3.96,-1.63,-10.29
201110,6.57,23.2,14.07,16.39,11.93,7.72,9.78,5.54,6.68,13.3
201111,1.39,-8.01,1.4,1.72,-1.98,0.05,1.1,1.28,0.99,-1.6
201112,1.88,-1.16,-0.8,-0.56,-1.45,3.2,0.87,3.53,2.95,1.07
201201,0.54,13.51,6.74,1.39,8.14,2.31,4.04,3.38,-2.71,6.76
201202,3.67,6.02,3.83,6.54,6.7,5,3.19,1.23,1.26,3.87
201203,4.01,0.92,0.7,-3.25,4.69,2.52,4.61,3.96,1.44,4.76
201204,0.76,-6.98,-0.68,-1.68,-2.07,1.62,1,0.61,1.74,-1.69
201205,-2.56,-8.15,-7.79,-10.72,-7.88,-1.05,-3.09,-3.28,-0.93,-7.19
201206,3.28,-5.51,1.22,5.85,2.83,7.04,2.11,6.8,3.4,4.75
201207,1.43,0.3,0.88,2.79,-0.55,4.07,1.26,1.65,3.73,-1
201208,0.23,4.11,3.31,2.41,4.55,1.08,2.7,0.97,-3.34,2.78
201209,1.01,3.58,1.63,3.54,1.6,4.8,1.97,4.71,2.17,3.79
201210,-1.72,5.91,-0.66,-1.8,-6.31,-2.29,-1.01,-1.88,1.05,0.64
201211,3.23,3.11,2.64,-1.52,1.88,0.05,1.42,1.51,-3.68,-0.02
201212,-2.24,7.3,2.79,1.28,0.26,1.16,-1.09,-0.53,0.14,3.42
201301,5.17,3.54,6.03,7.7,2.48,4.96,5.57,8.08,5.08,6.93
201302,3.25,0.02,1.29,0.42,0.56,2.21,0.84,1.36,2.16,1.78
201303,5.02,4.02,2.61,2.07,2.63,5.77,4.73,6.52,5.64,4.02
201304,3.78,3.57,0.83,-1.35,0.55,4.2,2.66,2.58,5.05,0.83
201305,-2.32,9.9,3.38,3.03,4.34,-1.69,2.22,1.63,-6.99,6.05
201306,0.03,-0.49,-2,-2.37,-2.84,2.19,-0.06,-1.36,0.79,-1.16
201307,3,8.98,5.96,5.02,5.99,3.76,5.91,7.88,4.58,5.43
201308,-3.97,-1.11,-1.9,-1.87,-0.04,-3.32,-4.22,-3.81,-4.41,-3.64
201309,1.89,6.44,5.31,1.91,3.87,4.09,4.5,4.02,1.04,3.77
201310,4.61,0.89,4.47,4.78,3.94,5.6,5.08,3.82,3.34,3.76
201311,1.29,1.97,2.89,0.93,3.53,0.5,3.64,4.5,-1.8,4.57
201312,2.47,1.13,3.05,2.97,4.15,3.7,0.29,0.65,1.79,3.08
201401,-5.75,-3.62,-4.24,-7.04,-1.17,-4.01,-6.46,1.65,2.49,-4.43
201402,3.5,7.92,5.36,5.7,5.23,2.78,5.33,6.47,3.07,3.45
201403,3.15,-1.01,0.34,2.44,-0.88,0.1,-0.57,-2.56,2.68,2.3
201404,1.29,0.27,0.87,5.67,-1.2,0.24,-0.94,-0.3,3.97,-1.6
201405,3.4,0.64,1.26,0.87,3.42,3.97,0.94,1.89,0,1.75
201406,1.22,4.38,1.38,4.15,2.98,1.6,1.28,2.86,5.42,2.12
201407,-4.37,-4.63,-4.18,-3.58,0.34,0.46,-2.3,-0.33,-6.47,-2.18
201408,5.64,5.2,4.77,2.27,4.22,0.52,5.15,5.44,5.38,4.41
201409,-0.09,-9.42,-2.38,-8.02,-1.33,-1.7,-1.44,-0.08,-3.41,-1.01
201410,2.64,3.86,2.36,-4.44,1.32,1.42,3.03,5.77,6.69,3.3
201411,4.81,4.74,2.23,-9.87,4.23,3.03,7.46,2.67,0.29,2.73
201412,-2.39,0.58,-0.16,0.41,-1.33,-1.73,1.59,-0.89,1.84,1.13
201501,-0.63,-4.19,-3.85,-4.39,-3.33,-4.89,-0.3,1.56,1.18,-6.19
201502,5.02,8.08,6.23,4.82,8.18,9.12,5.55,4.31,-4.37,6.89
201503,-2.39,-0.4,-2,-2.64,-2.47,-2.2,0.7,0.86,-0.28,-0.78
201504,0.71,-0.93,-0.65,6.94,1.42,3.4,-2.18,-1.39,0.3,0.48
201505,1.5,1.03,0.99,-5.07,1.9,0.81,0.92,4.89,-0.5,1.73
201506,-1.32,-1.49,-1.87,-3.84,-3.46,-0.48,-0.6,0.07,-5.37,-0.32
201507,4.79,-2.17,-2.15,-8.97,2.48,1.41,4.78,3.66,2.61,2.02
201508,-4.18,-6.13,-5.58,-3.63,-5.89,-8.42,-5.34,-8.37,-4.01,-6.17
201509,-0.62,-3.23,-4.23,-5.81,-1.47,-2.63,-1.81,-7.28,-0.56,-3.07
201510,6.64,6.86,9.33,12.32,10.11,8.84,4.52,7.74,2.07,6.5
201511,-0.98,1.94,0.49,1.09,1.18,-1.92,0.85,0.71,-3.45,1.2
201512,0.79,-4.03,-2.74,-9.68,-2.56,-3.02,0.29,0.4,-2.36,-2.68
